ADRCD_NM,ADRCD_CD,LCTN_SC_CODE,SCHUL_CODE,SCHUL_NM,SCHUL_KND_SC_CODE,PBAN_EXCP_YN,SEM_STR,AIR_BACT_STB_YN,AIR_BACT_RSLT_NMVL,AIR_BACT_RSLT_NMVL_2,FALL_BACT_STB_YN,FALL_BACT_RSLT_NMVL,FALL_BACT_RSLT_NMVL_2,MITE_STB_YN,MITE_RSLT_NMVL,MITE_RSLT_NMVL_2,RN_STB_YN,RN_RSLT_NMVL,RN_RSLT_NMVL_2,O3_STB_YN,O3_RSLT_NMVL,O3_RSLT_NMVL_2,ASBESTOS_STB_YN,ASBESTOS_RSLT_NMVL,ASBESTOS_RSLT_NMVL_2
서울특별시 동작구,1159010900.0,1,S010001558,문창중학교,3,N,하반기,적합,227.0,,적합,4.0,,적합,20.0,,적합,25.0,,적합,0.02,,해당없음,,
서울특별시 관악구,1162010200.0,1,S010001559,미성중학교,3,N,상반기,적합,135.0,,적합,4.0,,적합,20.0,,적합,63.0,,적합,0.029,,해당없음,,
서울특별시 관악구,1162010200.0,1,S010001559,미성중학교,3,N,하반기,미실시,,,해당없음,,,해당없음,,,해당없음,,,미실시,,,해당없음,,
서울특별시 관악구,1162010100.0,1,S010001560,봉림중학교,3,N,상반기,적합,99.0,,적합,0.0,,적합,20.0,,적합,109.0,,적합,0.032,,해당없음,,
서울특별시 관악구,1162010100.0,1,S010001560,봉림중학교,3,N,하반기,적합,101.0,132.0,적합,0.0,,적합,20.0,,적합,35.0,,적합,0.02,0.02,해당없음,,
서울특별시 관악구,1162010100.0,1,S010001561,봉원중학교,3,N,상반기,적합,84.0,,해당없음,,,적합,20.0,,적합,69.0,,적합,0.027,,적합,0.01,
서울특별시 관악구,1162010100.0,1,S010001561,봉원중학교,3,N,하반기,적합,84.0,,미실시,,,적합,20.0,,적합,69.0,,적합,0.02,,적합,0.01,
서울특별시 동작구,1159010700.0,1,S010001562,사당중학교,3,N,상반기,적합,209.0,,적합,1.0,,적합,20.0,,적합,112.0,,적합,0.027,,해당없음,,
서울특별시 동작구,1159010700.0,1,S010001562,사당중학교,3,N,하반기,적합,155.0,,적합,1.0,,적합,20.0,,적합,28.0,,적합,0.02,,해당없음,,
서울특별시 동작구,1159010700.0,1,S010001563,상도중학교,3,N,상반기,적합,349.0,,해당없음,,,적합,20.0,,적합,60.0,,적합,0.023,,적합,0.01,
서울특별시 동작구,1159010700.0,1,S010001563,상도중학교,3,N,하반기,적합,186.0,,해당없음,,,적합,20.0,,적합,9.8,,적합,0.01,,적합,0.01,
서울특별시 동작구,1159010200.0,1,S010001564,상현중학교,3,N,상반기,적합,79.0,86.0,적합,0.0,0.0,적합,0.0,,적합,41.0,,적합,0.029,0.028,적합,0.01,0.01
서울특별시 동작구,1159010200.0,1,S010001564,상현중학교,3,N,하반기,적합,165.0,,해당없음,,,적합,20.0,,적합,45.0,,적합,0.02,,적합,0.0,
서울특별시 관악구,1162010200.0,1,S010001568,신관중학교,3,N,상반기,적합,90.0,,적합,0.0,,적합,20.0,,적합,58.0,,적합,0.03,,해당없음,,
서울특별시 관악구,1162010200.0,1,S010001568,신관중학교,3,N,하반기,적합,68.0,,적합,0.0,,적합,20.0,,적합,12.0,,적합,0.02,,해당없음,,
서울특별시 관악구,1162010200.0,1,S010001569,삼성중학교,3,N,상반기,적합,265.0,,적합,0.0,,적합,20.0,,적합,36.2,,적합,0.011,,적합,0.01,
서울특별시 관악구,1162010200.0,1,S010001569,삼성중학교,3,N,하반기,적합,269.0,,미실시,,,적합,20.0,,적합,14.5,,적합,0.0,,적합,0.01,
서울특별시 관악구,1162010200.0,1,S010001570,신림중학교,3,N,상반기,적합,114.0,,적합,1.0,,적합,0.0,,해당없음,,,적합,0.029,,해당없음,,
서울특별시 관악구,1162010200.0,1,S010001570,신림중학교,3,N,하반기,적합,607.0,,해당없음,,,적합,20.0,,적합,72.0,,적합,0.01,,해당없음,,
서울특별시 동작구,1159010800.0,1,S010001571,영등포중학교,3,N,상반기,적합,78.0,85.0,해당없음,,,적합,99.0,,적합,49.0,,적합,0.027,0.026,적합,0.008,
서울특별시 동작구,1159010800.0,1,S010001571,영등포중학교,3,N,하반기,적합,145.0,,해당없음,,,적합,20.0,,적합,39.0,,적합,0.03,,적합,0.0,
서울특별시 관악구,1162010100.0,1,S010001572,인헌중학교,3,N,상반기,적합,68.0,86.4,적합,0.0,0.0,적합,0.0,0.0,적합,101.0,,적합,0.029,0.031,적합,0.0,0.0
서울특별시 관악구,1162010100.0,1,S010001572,인헌중학교,3,N,하반기,적합,112.0,,적합,0.0,,적합,20.0,,적합,29.0,,적합,0.02,,적합,0.0,
서울특별시 동작구,1159010200.0,1,S010001573,장승중학교,3,N,상반기,적합,76.0,,해당없음,,,적합,20.0,,해당없음,,,적합,0.027,,해당없음,,
서울특별시 동작구,1159010200.0,1,S010001573,장승중학교,3,N,하반기,적합,146.0,,해당없음,,,적합,20.0,,적합,19.0,,적합,0.01,,해당없음,,
서울특별시 노원구,1135010300.0,1,S010001696,공릉중학교,3,N,상반기,적합,134.0,,해당없음,,,해당없음,,,해당없음,,,적합,0.01,,해당없음,,
서울특별시 노원구,1135010300.0,1,S010001696,공릉중학교,3,N,하반기,적합,98.0,,해당없음,,,적합,20.0,,적합,24.8,,적합,0.01,,해당없음,,
서울특별시 도봉구,1132010700.0,1,S010001698,노곡중학교,3,N,상반기,적합,53.0,,해당없음,,,해당없음,,,적합,45.1,,적합,0.01,,적합,0.01,
서울특별시 도봉구,1132010700.0,1,S010001698,노곡중학교,3,N,하반기,적합,105.0,,적합,0.0,,적합,10.0,,적합,45.1,,적합,0.01,,적합,0.0,
서울특별시 노원구,1135010500.0,1,S010001699,노원중학교,3,N,상반기,적합,76.0,,해당없음,,,적합,20.0,,적합,61.0,,적합,0.02,,해당없음,,
서울특별시 노원구,1135010500.0,1,S010001699,노원중학교,3,N,하반기,적합,56.0,,해당없음,,,적합,20.0,,적합,61.0,,적합,0.01,,해당없음,,
서울특별시 노원구,1135010500.0,1,S010001700,노일중학교,3,N,상반기,적합,122.0,,미실시,,,적합,20.0,,적합,61.0,,적합,0.024,,미실시,,
