SCHUL_CODE,공시년도,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,학교명,연도,학교시설확충,세입세출구분,정부이전수입/인적자원운용,학부모부담수입/기본적교육활동,행정활동수입/교육활동지원,1인당 예산,설립구분,지역,학교과정구분명(초-중-고),학교교육시설 보수확충금액,학생복지및 자치활동지원금액
S010000768,1936,0.3450690911284662,A,서울신중초등학교,2022,,예산세입,529977000,0,5350000,,공립,서울특별시 서초구,초,33000000.0,0.0
S010000768,1936,0.3450690911284662,A,서울신중초등학교,2022,0.0,예산세출,15770000,115825000,81955000,633137.9,공립,서울특별시 서초구,초,33000000.0,0.0
S010000768,1936,0.3450690911284662,A,서울신중초등학교,2023,,예산세입,598987000,0,12210000,,공립,서울특별시 서초구,초,0.0,0.0
S010000768,1936,0.3450690911284662,A,서울신중초등학교,2023,0.0,예산세출,18830000,155010000,72267000,757739.5,공립,서울특별시 서초구,초,0.0,0.0
S010000768,1936,0.3450690911284662,A,서울신중초등학교,2024,,예산세입,734679000,86900000,11000000,,공립,서울특별시 서초구,초,,
S010000768,1936,0.3450690911284662,A,서울신중초등학교,2024,0.0,예산세출,28250000,168410000,77395000,1055172.0,공립,서울특별시 서초구,초,,
S010000769,1976,0.6126036964528758,D,서울압구정초등학교,2022,,예산세입,526488000,0,2370000,,공립,서울특별시 강남구,초,0.0,0.0
S010000769,1976,0.6126036964528758,D,서울압구정초등학교,2022,16454000.0,예산세출,16737000,93050000,104460000,599844.8,공립,서울특별시 강남구,초,0.0,0.0
S010000769,1976,0.6126036964528758,D,서울압구정초등학교,2023,,예산세입,592867000,0,28830000,,공립,서울특별시 강남구,초,0.0,50000.0
S010000769,1976,0.6126036964528758,D,서울압구정초등학교,2023,11000000.0,예산세출,19546000,150625000,96387000,744428.1,공립,서울특별시 강남구,초,0.0,50000.0
S010000769,1976,0.6126036964528758,D,서울압구정초등학교,2024,,예산세입,731991000,754953000,3670000,,공립,서울특별시 강남구,초,0.0,0.0
S010000769,1976,0.6126036964528758,D,서울압구정초등학교,2024,30000000.0,예산세출,26520000,218850000,94611000,1822777.2,공립,서울특별시 강남구,초,0.0,0.0
S010000770,1983,0.3864890082722105,A,서울양재초등학교,2022,,예산세입,473540000,46265000,5000000,,공립,서울특별시 서초구,초,0.0,0.0
S010000770,1983,0.3864890082722105,A,서울양재초등학교,2022,0.0,예산세출,9910000,102235000,62124000,936091.1,공립,서울특별시 서초구,초,0.0,0.0
S010000770,1983,0.3864890082722105,A,서울양재초등학교,2023,,예산세입,517211000,48384000,8500000,,공립,서울특별시 서초구,초,0.0,155120.0
S010000770,1983,0.3864890082722105,A,서울양재초등학교,2023,0.0,예산세출,15700000,138334000,60313000,1107120.1,공립,서울특별시 서초구,초,0.0,155120.0
S010000770,1983,0.3864890082722105,A,서울양재초등학교,2024,,예산세입,602081000,196763000,7900000,,공립,서울특별시 서초구,초,,
S010000770,1983,0.3864890082722105,A,서울양재초등학교,2024,0.0,예산세출,20190000,166765000,55441000,1839830.4,공립,서울특별시 서초구,초,,
S010000771,1988,0.424187590257665,B,서울양전초등학교,2022,,예산세입,443502000,0,2000000,,공립,서울특별시 강남구,초,0.0,0.0
S010000771,1988,0.424187590257665,B,서울양전초등학교,2022,0.0,예산세출,10420000,67767000,70760000,832152.8,공립,서울특별시 강남구,초,0.0,0.0
S010000771,1988,0.424187590257665,B,서울양전초등학교,2023,,예산세입,507464000,0,7100000,,공립,서울특별시 강남구,초,0.0,0.0
S010000771,1988,0.424187590257665,B,서울양전초등학교,2023,0.0,예산세출,14220000,89767000,79236000,1317323.4,공립,서울특별시 강남구,초,0.0,0.0
S010000771,1988,0.424187590257665,B,서울양전초등학교,2024,,예산세입,555175000,0,13000000,,공립,서울특별시 강남구,초,,
S010000771,1988,0.424187590257665,B,서울양전초등학교,2024,0.0,예산세출,17240000,92750000,62820000,1772568.4,공립,서울특별시 강남구,초,,
S010000772,1934,0.4156609300172876,B,서울언남초등학교,2022,,예산세입,667679000,0,6200000,,공립,서울특별시 서초구,초,0.0,1200000.0
S010000772,1934,0.4156609300172876,B,서울언남초등학교,2022,0.0,예산세출,16199000,127988000,88102000,606007.9,공립,서울특별시 서초구,초,0.0,1200000.0
S010000772,1934,0.4156609300172876,B,서울언남초등학교,2023,,예산세입,726275000,0,6200000,,공립,서울특별시 서초구,초,0.0,0.0
S010000772,1934,0.4156609300172876,B,서울언남초등학교,2023,0.0,예산세출,17272000,168386000,76739000,717286.0,공립,서울특별시 서초구,초,0.0,0.0
S010000772,1934,0.4156609300172876,B,서울언남초등학교,2024,,예산세입,821587000,0,20000000,,공립,서울특별시 서초구,초,0.0,1998000.0
S010000772,1934,0.4156609300172876,B,서울언남초등학교,2024,0.0,예산세출,19255000,161738000,68932000,885495.4,공립,서울특별시 서초구,초,0.0,1998000.0
S010000773,1945,0.4600183719695359,B,서울언북초등학교,2022,,예산세입,836124000,0,341012000,,공립,서울특별시 강남구,초,0.0,690.0
S010000773,1945,0.4600183719695359,B,서울언북초등학교,2022,0.0,예산세출,21000000,171782000,127921000,643007.6,공립,서울특별시 강남구,초,0.0,690.0
S010000773,1945,0.4600183719695359,B,서울언북초등학교,2023,,예산세입,903238000,0,367606000,,공립,서울특별시 강남구,초,0.0,600090.0
S010000773,1945,0.4600183719695359,B,서울언북초등학교,2023,270000000.0,예산세출,27000000,209987000,126966000,775071.7,공립,서울특별시 강남구,초,0.0,600090.0
S010000773,1945,0.4600183719695359,B,서울언북초등학교,2024,,예산세입,1063188000,47920000,487500000,,공립,서울특별시 강남구,초,0.0,0.0
S010000773,1945,0.4600183719695359,B,서울언북초등학교,2024,146000000.0,예산세출,40576000,280310000,134332000,1071220.3,공립,서울특별시 강남구,초,0.0,0.0
S010000774,1927,0.3245488172587183,A,서울언주초등학교,2022,,예산세입,735784000,0,111980000,,공립,서울특별시 강남구,초,0.0,50000.0
S010000774,1927,0.3245488172587183,A,서울언주초등학교,2022,70000000.0,예산세출,33720000,243525000,103502000,560547.9,공립,서울특별시 강남구,초,0.0,50000.0
S010000774,1927,0.3245488172587183,A,서울언주초등학교,2023,,예산세입,757988000,0,136650000,,공립,서울특별시 강남구,초,0.0,200000.0
S010000774,1927,0.3245488172587183,A,서울언주초등학교,2023,90000000.0,예산세출,36720000,250830000,103319000,641376.1,공립,서울특별시 강남구,초,0.0,200000.0
S010000774,1927,0.3245488172587183,A,서울언주초등학교,2024,,예산세입,881026000,16820000,136430000,,공립,서울특별시 강남구,초,0.0,0.0
S010000774,1927,0.3245488172587183,A,서울언주초등학교,2024,98000000.0,예산세출,39860000,276925000,109574000,795997.1,공립,서울특별시 강남구,초,0.0,0.0
