SCHUL_NM,ADRCD_NM,SCHUL_KND_SC_CODE,SEM_STR,AIR_BACT,FALL_BACT,MITE,RN,O3,ASBESTOS
서울영희초등학교,서울특별시 강남구,2,상반기,773.0,0.0,0.0,31.9,0.006,0.0
서울영희초등학교,서울특별시 강남구,2,하반기,195.0,1.603230313293819,20.0,34.2,0.01,0.01
서울왕북초등학교,서울특별시 강남구,2,상반기,792.0,1.603230313293819,20.0,64.8,0.032,0.0
서울왕북초등학교,서울특별시 강남구,2,하반기,529.0,1.603230313293819,20.0,59.9,0.01,0.01
서울우암초등학교,서울특별시 서초구,2,상반기,41.0,0.0,10.0,39.5,0.012,0.003964597478176527
서울우암초등학교,서울특별시 서초구,2,하반기,283.0,1.603230313293819,20.0,39.5,0.01,0.003964597478176527
서울원명초등학교,서울특별시 서초구,2,상반기,196.5,0.7,10.0,41.0,0.01,0.003964597478176527
서울원명초등학교,서울특별시 서초구,2,하반기,219.0,1.603230313293819,20.0,35.7,0.01,0.003964597478176527
서울원촌초등학교,서울특별시 서초구,2,상반기,790.0,0.0,20.0,45.1,0.021,0.01
서울원촌초등학교,서울특별시 서초구,2,하반기,790.0,0.0,0.0,45.1,0.02,0.01
서울이수초등학교,서울특별시 서초구,2,상반기,149.0,1.603230313293819,0.0,147.4,0.012,0.0
서울이수초등학교,서울특별시 서초구,2,하반기,235.0,1.603230313293819,0.0,104.55,0.01,0.003964597478176527
서울일원초등학교,서울특별시 강남구,2,상반기,333.0,1.603230313293819,20.0,42.6,0.0085,0.003964597478176527
서울일원초등학교,서울특별시 강남구,2,하반기,34.0,0.0,20.0,42.6,0.01,0.003964597478176527
서울잠원초등학교,서울특별시 서초구,2,상반기,336.6977637130801,1.603230313293819,17.980964673913046,45.43074929577464,0.021434327176781006,0.003964597478176527
서울잠원초등학교,서울특별시 서초구,2,하반기,727.0,1.603230313293819,20.0,56.4,0.02,0.003964597478176527
서울청담초등학교,서울특별시 강남구,2,상반기,705.0,0.0,0.0,0.0,0.0,0.0
