SCHUL_CODE,SCHUL_NM,ADRCD_NM,공시년도,BLKB_ITENI_MAX,DES_ITENI_MAX,ITENI_MAX,NSE_MAX,MNUT_DST_MAX,GMNSM_MNUT_DST_MAX,ULTRA_DST_MAX,HCHO_MAX,AIR_BACT_MAX,RN_MAX,O3_MAX,VOCS_MAX,BENZENE_MAX,TOLUENE_MAX,ETHY_BENZENE_MAX,XYLENE_MAX,STYLENE_MAX,ASBESTOS_MAX,CO_MAX,NO2_MAX,FALL_BACT_MAX,MITE_MAX,BLKB_ITENI_SCORE,DES_ITENI_SCORE,ITENI_SCORE,NSE_SCORE,MNUT_DST_SCORE,GMNSM_MNUT_DST_SCORE,ULTRA_DST_SCORE,HCHO_SCORE,AIR_BACT_SCORE,RN_SCORE,O3_SCORE,VOCS_SCORE,BENZENE_SCORE,TOLUENE_SCORE,ETHY_BENZENE_SCORE,XYLENE_SCORE,STYLENE_SCORE,ASBESTOS_SCORE,CO_SCORE,NO2_SCORE,FALL_BACT_SCORE,MITE_SCORE,BLKB_ITENI_WEIGHTED,DES_ITENI_WEIGHTED,ITENI_WEIGHTED,NSE_WEIGHTED,MNUT_DST_WEIGHTED,GMNSM_MNUT_DST_WEIGHTED,ULTRA_DST_WEIGHTED,HCHO_WEIGHTED,AIR_BACT_WEIGHTED,RN_WEIGHTED,O3_WEIGHTED,VOCS_WEIGHTED,BENZENE_WEIGHTED,TOLUENE_WEIGHTED,ETHY_BENZENE_WEIGHTED,XYLENE_WEIGHTED,STYLENE_WEIGHTED,ASBESTOS_WEIGHTED,CO_WEIGHTED,NO2_WEIGHTED,FALL_BACT_WEIGHTED,MITE_WEIGHTED,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE
S010000745,서울대모초등학교,서울특별시 강남구,1994,473.0,570.0,1.2,41.5,80.0,95.0,38.0,19.5,733.0,37.4,0.017,105.68175438596491,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.003944444444444445,0.6651832460732984,0.01404736842105263,1.391150442477876,20.0,1.5766666666666667,1.9,0.39999999999999997,0.7545454545454545,1.0666666666666667,0.6333333333333333,1.0857142857142856,0.195,0.91625,0.2527027027027027,0.2833333333333334,0.26420438596491225,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,0.3944444444444445,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.2,0.7883333333333333,0.95,0.19999999999999998,0.7545454545454545,1.0666666666666667,0.6333333333333333,1.0857142857142856,0.585,0.91625,0.758108108108108,0.2833333333333334,0.39630657894736837,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,1.1833333333333336,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.2,0.4756670271453745,B
S010000745,서울대모초등학교,서울특별시 강남구,1994,561.3138888888889,803.8486507936509,1.4467611336032389,43.18745019920319,74.6,94.8,34.8,22.646579476861167,733.0,0.0,0.01,105.68175438596491,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.003944444444444445,0.6651832460732984,0.01404736842105263,1.391150442477876,18.51006036217304,1.8710462962962962,2.679495502645503,0.4822537112010796,0.7852263672582398,0.9946666666666666,0.632,0.9942857142857142,0.22646579476861167,0.91625,0.0,0.16666666666666669,0.26420438596491225,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,0.3944444444444445,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.1851006036217304,0.9355231481481481,1.3397477513227516,0.2411268556005398,0.7852263672582398,0.9946666666666666,0.632,0.9942857142857142,0.679397384305835,0.91625,0.0,0.16666666666666669,0.39630657894736837,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,1.1833333333333336,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.1851006036217304,0.4596991472745462,B
S010000746,서울대왕초등학교,서울특별시 강남구,1932,824.0,874.0,1.1,43.1,68.4,62.3,28.4,10.3,610.0,19.6,0.023,308.7,21.5,74.2,20.0,50.5,5.8,0.0019655172413793106,0.6,0.02,2.0,20.0,2.7466666666666666,2.9133333333333336,0.3666666666666667,0.7836363636363637,0.912,0.41533333333333333,0.8114285714285714,0.10300000000000001,0.7625,0.13243243243243244,0.38333333333333336,0.7717499999999999,0.7166666666666667,0.0742,0.05555555555555555,0.07214285714285715,0.019333333333333334,0.19655172413793107,0.06,0.39999999999999997,0.0025,0.2,1.3733333333333333,1.4566666666666668,0.18333333333333335,0.7836363636363637,0.912,0.41533333333333333,0.8114285714285714,0.30900000000000005,0.7625,0.39729729729729735,0.38333333333333336,1.157625,2.15,0.1484,0.1111111111111111,0.1442857142857143,0.03866666666666667,0.5896551724137932,0.06,0.39999999999999997,0.0025,0.2,0.5813684498563417,D
S010000746,서울대왕초등학교,서울특별시 강남구,1932,580.9375,768.75,1.3034374999999998,42.4875,31.0,19.0,9.0,14.6,627.0,42.152542372881356,0.02,53.3,1.8,23.3,5.5,13.3,0.9913157894736843,0.0019655172413793106,0.5,0.01,1.391150442477876,18.067741935483873,1.9364583333333334,2.5625,0.4344791666666666,0.7725,0.41333333333333333,0.12666666666666668,0.2571428571428571,0.146,0.78375,0.2848144754924416,0.33333333333333337,0.13324999999999998,0.060000000000000005,0.0233,0.015277777777777777,0.019,0.0033043859649122807,0.19655172413793107,0.05,0.19999999999999998,0.001738938053097345,0.18067741935483872,0.9682291666666667,1.28125,0.2172395833333333,0.7725,0.41333333333333333,0.12666666666666668,0.2571428571428571,0.43799999999999994,0.78375,0.8544434264773249,0.33333333333333337,0.19987499999999997,0.18000000000000002,0.0466,0.030555555555555555,0.038,0.006608771929824561,0.5896551724137932,0.05,0.19999999999999998,0.001738938053097345,0.18067741935483872,0.36225451019366467,A
S010000747,서울대진초등학교,서울특별시 강남구,1992,383.0,716.0,1.7,43.18745019920319,16.4,15.6,8.8,63.4,274.0,35.4,0.009,617.3,0.0,246.5,64.5,52.5,0.0,0.01,0.6,0.023,0.0,0.0,1.2766666666666666,2.3866666666666667,0.5666666666666667,0.7852263672582398,0.21866666666666665,0.104,0.25142857142857145,0.634,0.3425,0.2391891891891892,0.15,1.5432499999999998,0.0,0.2465,0.17916666666666667,0.075,0.0,1.0,0.06,0.45999999999999996,0.0,0.0,0.6383333333333333,1.1933333333333334,0.2833333333333333,0.7852263672582398,0.21866666666666665,0.104,0.25142857142857145,1.9020000000000001,0.3425,0.7175675675675676,0.15,2.314875,0.0,0.493,0.35833333333333334,0.15,0.0,3.0,0.06,0.45999999999999996,0.0,0.0,0.6101180684661082,D
S010000747,서울대진초등학교,서울특별시 강남구,1992,561.3138888888889,803.8486507936509,1.4467611336032389,43.18745019920319,15.8,16.8,9.4,19.5,285.0,24.3,0.03,176.3,0.0,19.2,5.4,14.9,7.5,0.01,0.6,0.0,1.391150442477876,0.0,1.8710462962962962,2.679495502645503,0.4822537112010796,0.7852263672582398,0.21066666666666667,0.112,0.26857142857142857,0.195,0.35625,0.1641891891891892,0.5,0.44075000000000003,0.0,0.0192,0.015000000000000001,0.021285714285714286,0.025,1.0,0.06,0.0,0.001738938053097345,0.0,0.9355231481481481,1.3397477513227516,0.2411268556005398,0.7852263672582398,0.21066666666666667,0.112,0.26857142857142857,0.585,0.35625,0.4925675675675676,0.5,0.6611250000000001,0.0,0.0384,0.030000000000000002,0.04257142857142857,0.05,3.0,0.06,0.0,0.001738938053097345,0.0,0.44138705235272135,B
S010000748,서울대청초등학교,서울특별시 강남구,1993,786.0,732.0,1.5,37.9,33.0,28.0,26.0,29.2,222.0,41.6,0.025,105.68175438596491,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.01,1.4,0.015,1.391150442477876,20.0,2.62,2.44,0.5,0.6890909090909091,0.44,0.18666666666666668,0.7428571428571429,0.292,0.2775,0.2810810810810811,0.4166666666666667,0.26420438596491225,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,1.0,0.13999999999999999,0.3,0.001738938053097345,0.2,1.31,1.22,0.25,0.6890909090909091,0.44,0.18666666666666668,0.7428571428571429,0.8759999999999999,0.2775,0.8432432432432433,0.4166666666666667,0.39630657894736837,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,3.0,0.13999999999999999,0.3,0.001738938053097345,0.2,0.5274825311057563,C
S010000748,서울대청초등학교,서울특별시 강남구,1993,561.3138888888889,803.8486507936509,1.4467611336032389,43.18745019920319,25.4,26.8,16.8,29.2,576.0,40.3,0.02,105.68175438596491,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.01,0.7,0.0,1.391150442477876,0.0,1.8710462962962962,2.679495502645503,0.4822537112010796,0.7852263672582398,0.33866666666666667,0.17866666666666667,0.48000000000000004,0.292,0.72,0.2722972972972973,0.33333333333333337,0.26420438596491225,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,1.0,0.06999999999999999,0.0,0.001738938053097345,0.0,0.9355231481481481,1.3397477513227516,0.2411268556005398,0.7852263672582398,0.33866666666666667,0.17866666666666667,0.48000000000000004,0.8759999999999999,0.72,0.8168918918918919,0.33333333333333337,0.39630657894736837,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,3.0,0.06999999999999999,0.0,0.001738938053097345,0.0,0.4921715334859203,B
S010000749,서울대치초등학교,서울특별시 강남구,1984,756.0,710.0,1.8,47.0,32.8,9.9,22.3,27.0,112.0,62.0,0.01,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.7,0.01,0.3,20.0,2.52,2.3666666666666667,0.6,0.8545454545454545,0.4373333333333333,0.066,0.6371428571428571,0.27,0.14,0.4189189189189189,0.16666666666666669,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.06999999999999999,0.19999999999999998,0.000375,0.2,1.26,1.1833333333333333,0.3,0.8545454545454545,0.4373333333333333,0.066,0.6371428571428571,0.81,0.14,1.2567567567567568,0.16666666666666669,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.06999999999999999,0.19999999999999998,0.000375,0.2,0.5239388932234151,C
S010000749,서울대치초등학교,서울특별시 강남구,1984,567.5381679389313,745.8166412213741,1.4286249999999998,43.39693597560976,19.8,10.4,21.1,26.0,112.0,62.0,0.01,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.7,0.01,0.0,0.0,1.891793893129771,2.4860554707379134,0.4762083333333333,0.789035199556541,0.264,0.06933333333333333,0.6028571428571429,0.26,0.14,0.4189189189189189,0.16666666666666669,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.06999999999999999,0.19999999999999998,0.0,0.0,0.9458969465648855,1.2430277353689567,0.23810416666666664,0.789035199556541,0.264,0.06933333333333333,0.6028571428571429,0.78,0.14,1.2567567567567568,0.16666666666666669,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.06999999999999999,0.19999999999999998,0.0,0.0,0.4868263725867129,B
