설립구분,학교급코드,지역,교육지원청,시도교육청,교육지원청코드,제외여부,예결산구분,세입세출구분,기타/학교일반운영,행정활동수입/교육활동지원,지원금수입/선택적교육활동,학부모부담수입/기본적교육활동,기타이전수입/학생복지_교육격차해소,정보공시 학교코드,정부이전수입/인적자원운용,시도교육청코드,소재지구분코드,분교여부,학교명,학교과정구분명(초-중-고),학교과정구분값(2-3-4),제외사유,연도,학교급코드,예산구분,학교재무활동,학교시설확충,1인당 예산,고등학교 계열 구분명
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,1452000,0,0,0,S010000899,462235000,B100000001,1,N,서울가원초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,16000000,2016000,0,0,0,S010000900,529489000,B100000001,1,N,서울가주초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,1601000,0,0,0,S010000901,630276000,B100000001,1,N,서울강덕초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,19250000,6010000,0,0,0,S010000902,530571000,B100000001,1,N,서울강동초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,8000000,0,0,0,S010000903,649962000,B100000001,1,N,서울강일초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,10000000,3801000,0,0,0,S010000904,624043000,B100000001,1,N,서울거여초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,27000000,2844000,0,0,13800000,S010000905,619175000,B100000001,1,N,서울거원초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,30000000,7400000,0,0,0,S010000906,431753000,B100000001,1,N,서울고덕초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,1700000,0,0,0,S010000907,480832000,B100000001,1,N,서울고명초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,2000000,0,0,15000000,S010000908,781499000,B100000001,1,N,서울고일초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,30000000,6500000,0,0,0,S010000909,604520000,B100000001,1,N,서울길동초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15380000,3800000,0,0,0,S010000910,480820000,B100000001,1,N,서울남천초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,13000000,0,0,0,S010000911,553953000,B100000001,1,N,서울대명초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,5000000,2300000,0,0,0,S010000913,615347000,B100000001,1,N,서울마천초등학교,초,2,,2022,2,세입,,,,
